"card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active"
1,0,28,4.52,0.03326991,124.9833,0,0,3,24,1,12
1,0,23.58333,2.42,0.005216942,9.854167,0,0,1,34,1,13
1,0,21.41667,4.5,0.004155556,15,0,0,0,58,1,5
1,0,19.16667,1.9,0.06521378,448.0233,0,0,0,192,1,7
1,0,32.16667,7.572,0.06705059,546.5033,1,0,2,64,1,5
1,0,23.25,2.5,0.0444384,32.66667,0,0,0,54,1,1
1,0,23.83333,3.96,0.01257576,40.83333,0,0,0,2,1,5
1,0,29.16667,5,0.0457034,150.79,1,0,2,6,1,3
1,0,26.5,2.7,0.2456279,777.8217,1,0,0,97,1,0
1,2,28.33333,3.2,0.01978,52.58,0,0,0,65,1,18
1,0,24.08333,3.95,0.04706862,256.6642,1,0,0,24,1,20
0,0,42,1.98,0.0006060606,0,1,0,2,36,1,0
0,2,33.83333,1.73,0.0003157895,0,1,0,1,153,0,11
1,0,28.83333,3,0.07104634,177.6158,1,0,0,20,1,3
1,0,35.33333,3.4,0.02690671,59.85417,1,0,2,120,1,4
1,0,34.16667,2.37,0.05412025,106.7208,1,0,1,38,1,22
1,2,40.08333,4,0.07481575,0,1,1,0,31,1,0
0,7,42.41667,3,0.0006666667,0,0,0,2,48,1,8
0,0,39.5,1.8504,0.0006485084,548.035,1,1,0,14,1,0
1,0,55.16667,3.4,0.03858522,0,1,0,0,28,1,13
1,0,28.5,2,0.02238596,43.33917,0,0,2,115,1,1
0,1,25.16667,1.875,0.00064,111.6925,0,0,0,7,0,0
1,0,48.25,5,0.0219424,91.17667,1,0,3,7,1,0
1,0,35.75,4,0.05119225,170.6408,0,0,2,18,1,0
1,0,42.66667,5.14,0.1571033,352.1733,1,0,1,62,0,17
1,0,30.25,2.19,0.1337421,502.2017,0,0,0,6,1,7
1,0,21.66667,3.5,0.04229,122.9292,0,1,1,12,1,1
1,0,22.25,1.5,0.058608,207.7133,0,0,1,50,1,6
0,0,34.25,2,0.00048,0,1,0,1,61,1,0
1,0,40,5.5,0.3344596,1532.773,0,0,4,74,1,5
1,0,28.16667,3.5,0.1119657,42.69083,1,0,2,9,0,7
1,1,29.41667,3.2,0.002424242,7.083333,1,0,0,180,0,5
0,0,53,2.45,0.0003809524,35.675,1,0,1,40,1,11
0,1,21,3.3,0.2689328,0,0,0,1,48,0,3
1,0,23.83333,2.3004,0.0005216484,222.5392,0,1,0,12,1,5
1,0,42.83333,3.5412,0.1834562,541.2958,1,0,2,108,1,5
0,0,42.58333,2.2845,0.02599111,0,0,0,2,16,1,0
1,0,31.91667,2.1,0.1197419,0,1,0,2,36,1,2
0,0,26.75,3.5,0.0005216484,0,0,1,0,46,1,3
1,0,25.25,5.5,0.02479182,113.2958,1,0,4,28,1,13
1,0,23.83333,2.3,0.124375,265.6517,0,0,0,7,1,10
1,0,23.33333,3.5,0.02505764,53.645,0,0,3,8,1,19
1,0,29.91667,5,0.05125828,1011.333,0,0,1,7,1,5
0,0,33,7.5,0.1075816,0,0,0,0,60,1,8
1,0,38.33333,3,0.06942033,9.583333,0,0,0,60,1,1
0,0,62,1.638,0.0006666667,0,1,0,2,26,1,1
0,0,26.83333,2,0.192044,0,0,0,0,156,1,4
0,0,37.75,3.2628,0.0003677823,0,0,0,2,98,1,1
1,0,45.58333,2.35,0.01031111,83.08334,0,0,1,30,1,9
0,0,27.75,7,5e-04,0,1,0,0,11,1,13
0,0,49.75,3.374,0.01200622,0,0,0,0,10,0,9
1,0,21.41667,1.75,0.02445829,93.1975,1,0,0,131,1,3
1,0,20.66667,2,0.9063205,105.045,0,0,0,6,1,5
1,0,47.83333,2.8,0.03474402,134.9183,1,0,2,210,1,8
1,2,35.5,2.9,0.02071958,0,0,0,0,34,1,2
1,1,32.91667,2.82,0.0418539,97.94,0,0,0,216,0,1
1,0,34.33333,4.5,0.4745083,1898.033,0,0,6,6,0,0
1,0,33.25,3.18,0.0938035,156.0892,0,0,4,18,0,2
0,0,43.08333,2.4317,0.0006666667,0,0,0,2,33,0,28
1,0,21.16667,3.35,0.07162478,199.3692,1,0,0,18,1,2
0,2,25.08333,3,0.038453,0,0,0,0,8,1,16
1,0,27.16667,3.9,0.01492807,297.9717,0,0,0,36,1,5
1,0,37.16667,2.825,0.06534584,153.7517,1,0,0,12,1,2
1,0,22,2.7,0.03544926,79.51083,0,0,0,3,1,0
0,3,25.16667,1.875,0.000244898,0,1,0,2,16,0,2
0,0,19.08333,2.5,0.00048,0,0,1,0,18,1,2
1,0,40.75,6,0.06123966,5.833333,0,1,2,24,1,6
1,0,42.08333,3.9,0.03221615,104.5358,0,0,0,31,0,0
0,0,29,5.5,0.062952,0,0,0,0,18,1,0
1,0,26.08333,3.074,0.06123782,642.4742,0,0,2,13,1,13
1,0,28.41667,2,6e-04,308.0492,1,0,2,108,1,16
1,0,27.5,2,0.111812,186.3533,0,0,0,9,1,0
1,0,23.83333,2.3,0.1386009,265.6517,0,0,0,6,1,3
1,3,37.33333,4.7,0.05719193,129.3733,0,0,2,13,1,14
1,0,26.58333,3.8,0.0003157895,93.10667,1,0,0,153,1,11
1,1,24.16667,3.25,0.0002926829,347.9483,0,0,0,5,0,4
1,0,25.33333,3,0.1900073,292.6633,0,0,0,18,1,0
1,0,21.91667,2.4,0.2326392,465.195,0,0,0,7,1,4
1,0,0.5,1.82,0.5418599,258.5492,0,0,1,94,1,2
0,0,37.58333,4.475,0.0002681564,0,0,0,2,6,1,18
1,0,46,4,0.0335,0,0,0,2,25,1,0
1,1,54.58333,1.56,0.3860019,501.8025,1,0,1,33,1,1
1,0,39,3.5,0.04514543,108.6075,0,0,0,113,0,13
1,0,29.33333,3.2,0.02494458,49.55583,0,0,0,68,1,4
0,3,41.83333,5,0.0003234589,0,0,0,2,84,1,11
1,0,24.66667,2.0676,0.2071184,356.7817,0,0,0,4,1,17
0,0,41.25,3.836,0.0002735978,0,1,0,3,14,1,14
0,0,22.5,2.5,0.00048,0,0,0,3,30,0,18
1,0,20.16667,2.1,0.1538495,0,0,0,1,27,1,0
1,0,53.66667,4.18,0.0002870813,0,0,0,1,6,1,12
0,2,34,1.5,8e-04,0,0,0,1,87,1,3
0,2,44.91667,2.8055,0.0004277313,0,1,0,0,159,1,4
0,0,41.58333,2.4,0.0002608696,0,0,0,0,12,1,0
1,4,35.16667,2.7,0.04111704,0,0,0,0,18,1,0
1,0,35.83333,1.6,0.2253456,300.4608,0,0,2,6,1,12
1,0,21.66667,1.56,0.0457034,0,0,0,0,12,1,0
0,7,25.91667,2.6,0.0004615385,0,0,0,0,36,1,11
1,1,25.41667,3.6,0.07804389,234.0483,0,0,2,12,1,13
1,0,26.25,5,0.1082892,34.09167,1,0,0,5,1,16
1,0,32.66667,3.7,0.05487727,251.5208,1,0,2,161,1,15
1,1,35,3.2,0.1177562,313.4333,1,0,0,72,1,29
0,0,34.58333,3.2604,0.0002637363,0,0,0,1,31,1,6
1,0,20.91667,2.9,0.0004137931,308.0492,0,0,0,36,1,3
1,0,24.75,2.2,0.1550486,147.7233,1,0,0,1,1,6
1,0,34.58333,4.2,0.04768381,166.7267,1,0,0,53,1,0
1,0,23.16667,2.15,0.2269911,484.4392,0,0,0,6,1,12
1,0,25.58333,3.625,0.3252597,106.1692,0,0,1,2,0,7
0,0,24.83333,2.7885,0.1313552,0,0,0,0,18,1,0
1,0,40.91667,1.98,0.07620686,635.0508,1,0,2,36,1,17
1,0,43.66667,10.0393,0.02186308,182.825,0,0,1,12,1,18
1,0,27.91667,3.96,0.01257576,89.37083,0,0,2,12,1,5
1,0,41.91667,3,0.24272,40.3275,0,0,1,36,1,5
1,0,28.33333,2.4,0.04364769,141.6883,1,0,0,49,1,29
1,0,45.58333,4,0.01031111,115.4167,1,0,2,16,1,9
1,3,25.91667,3.1782,0.09312976,246.5708,0,0,0,17,1,5
1,1,32.16667,2,0.023269,38.365,0,0,0,24,1,4
1,1,31,2,0.0841927,101.2625,0,0,0,5,1,3
1,0,35.91667,2.15,0.03192233,56.69417,1,0,4,59,1,4
1,0,21.25,3.8,0.03251895,102.9767,0,0,0,18,0,2
1,0,32.33333,4.3,0.03419023,465.9383,0,0,0,60,1,7
